eng_text,ksl_text
     Can I exchange sugar with salt,    SUGAR ME EXCHANGE SALT POSSIBLE
 Let us exchange our phones, PHONE OUR LET EXCHANGE
 Agriculture brings foreign exchange to our country, AGRICULTURECOUNTRY OUR FOREIGN EXCHANGE BRING
 The movie excites the children, MOVIE THAT CHILDREN EXCITE
 What excites you, WHAT YOU EXCITE  
 Your behavior excites my anger, BEHAVIOR YOUR ANGER MINE EXCITE
 That drug excites happiness in the body, DRUG THAT BODY HAPPINES EXCITE
 The pastor’s preaching excites my faith, PASTOR PRACHING FAITH MINE EXCITE
 My friends are excited today, TODAYFRIEND FRIEND MINE EXCITE FINISH
 All the teachers are excited, TEACH PERSON ALL EXCITED
 Don’t exclude your sister, GIRL SAME YOUR EXCLUDE NOTHING
 I want to exclude myself tomorrow, TOMORROW ME WANT MYSELF EXCLUDE
     Exclude me from your plan,     PLAN YOUR ME EXCLUDE
     Exclude some papers for tomorrow,     PAPER SOME EXCLUDE TOMORRROW USE
     Excretion is removal of waste from the body,     EXCRETION WHATBODY WASTW REMOVE
     The liver does excretion,     LIVEREXCRETION DO
     What’s excretion,     EXCRETION WHAT
     I want to teach about excretion,     ME WANT TEACH EXCRETION
     We learnt about excretion yesterday,     YESTERDAYWE LEARN
     Please excuse my behavior,     BEHAVIOR MINE EXCUSE PLEASE
     My father has an executive tie,     FATHER MINE TIE EXECUTIVE HAVE
 That man is always very executive, ALWAYSMAN THAT EXECUTIVE
 The executive government has a lot of responsibilities, GOVERNMENT EXECUTIVERESPONSIBILITY MANY HAVE 
 The carpenter has made an executive chair, CARPENTEREXECUTIVE CHAIR MAKE FINISH
 I’m in the wedding executive committee, WEDDING COMMITTEE EXECUTINE ME MEMBER
 Don’t exaggerate the story, STORY EXEGGERATE NOTHING
 Why do you exaggerate the number, NUMBER THAT YOU EXEGGERATE WHY
 He exaggerated, HE EXEGGERATE FINISH
 He’s exaggerating the size of the house, HOUSE SIZE  MAN THAT EXEGGERATE
 I want another exercise book, EXERCISE BOOK ANOTHER ME WANT
 That exercise book is old, EXERCISE BOOK THAT OLD
 Please help me with your exercise book, EXERCISE BOOK YOUR ME HELP PLEASE
     Where is your exercise book,    EXERCISE BOOK YOUR WHERE
     My car has a big exhaust pipe,    CAR MINE EXHAUST PIPE BIG HAVE
     Can you exhaust all that food,    FOOD THAT ALL YOU EXHAUST POSSIBLE
     Jumping can exhaust you strength,    STRENGTH YOUR JUMP POSSIBLE EXHAUST
     I’m so exhausted,    ME EXHAUST FINISH
     Water is exhausted in the well,    WELL THERE WATER EXHAUST FINISH
     I want to exhibit my skills,    ME WANT EXHIBIT SKILL SKILL MINE
     The students will exhibit good performance,    STUDENT STUDENT THOSE PERFORMANCE GOOD EXHIBIT
     We will exhibit the work once we’re done,    TIME WE FINISHWORK EXHIBIT
 She exhibited a bad character, GIRL THATCHARACTER BAD EXHIBIT
 The boy exhibits good drawing skills, BOY THATDRAWING SKILL SKILL GOOD EXHIBIT
 I want to expand my knowledge, ME WANT KNOWLEDGE EXPAND
 He was expelled from school, BOY THATSCHOOL EXPELL FINISH
 The manager has expelled that girl, GIORL THATMANAGE PERSON EXPEL
 The school expelled many students, STUDENT MANY SCHOOL EXPELL FINISH
 When were you expelled , YOU EXPELL WHEN
 The bees should be expelled from the home, HOMEBEE BEE EXPELL
 How much is your expenditure in this trip, TRIP THIS EXPENDITURE HOW MANY
 This project needs excess time expenditure, PROJECT THIS TIME EXCESS EXPENDITURE NEED
 The government’s expenditure is mostly in education, GOVERNMENT EXPENDITURE A LOTEDUCATION
    I have three years of teaching experience,     TEACH EXPERIENCE YEAR THREE ME HAVE
    We will have Biology experiment tomorrow,     TOMORROWBIOLOGY EXPERIMENT WE HAVE
    I want to experiment this machine,     MACHINE THIS ME WANT EXPERIMENT
    I love teaching with experiments,     TEACH WITH EXPERIMENT ME LOVE
    Have you done the experiment,     EXPERIMENT YOU FINISH 
    Please explain to me that how to drive the car,     CAR THAT DRIVE EXPLAIN ME PLEASE
    Tea is the main export of Kenya,     TEAKENYA EXPORT MAIN
    The export of fish is forbidden in this country,     COUNTRY THIS FISH EXPORT FORBIDDEN
    China exports many electronic goods to the whole world,     CHINAELECTRONIC ITEM ITEM MANY WORLD ALL EXPORT
 I want to export that bicycle to my home, BICYCLE THAT ME WANT HOME EXPORT
 This is an express train, TRAIN THIS EXPRESS
 Is there an express bus in this town, TOWN THIS BUS EXPRESS HAVE­­­­­­­­­­­­­­­­­
 Words can’t express my love to him, MAN THATLOVE MINE WORD WORD EXPRESS ZERO
 She expressed care to the street children, WOMAN THAT STREET CHILDREN CARE EXPRESS 
 This is an expression of love, EXPRESSION THISLOVE
 You have good facial expression, FACE EXPRESSION YOUR GOOD
 Many people have problems with facial expression, PEOPLE MANY FACE EXPRESSION PROBLEM HAVE
 Drama actors have varying body expressions, DRAMA ACT PERSON PERSON BODY EXPRESSION MANY HAVE
 I want to extend the holiday, HOLIDAY ME WANT EXTEND
 He wants to extend the fence of his home, MAN THAT HOME FENCE HIS WANT EXTEND
     Please extend your arm,    ARM YOUR EXTEND PLEASE
     God wants to extend grace to all people,    PEOPLE ALL GOD WANT GRACE EXTEND
     Do you have extra money,    MONEY EXTRA YOU HAVE
     I want an extra chair,    CHAIR EXTRA ME WANT
     Keep the extra money with you,    MONEY EXTRA YOU KEEP
     We can extract oil from the plants,    PLANT PLANT THOSE OIL EXTRACT POSSIBLE
     Where did you extract that stone,    STONE THAT YOU EXTRACT WHERE
     That juice is a mango extract,    JUICE THATMANGO EXTRACT
     I want extract my paining tooth,    TOOTH MINE PAIN ME WANT EXTRACT
 We can extract the good beans from the mixture, MIXTUTE THAT BEANS EXTRACT
 Today the weather is extremely cold, TODAYWEATHER COLD EXTREME
 We will walk to the extreme end of the road, ROAD END EXTREME WE WALK
 The temperature is extremely high, TEMPERATURE HIGH EXTREME
 I have an extreme love for aeroplane, AEROPLANE ME LOVE EXTREME
 I think the new laws are extreme, ME THINK LAW LAW NEW EXTREME
 What is the problem with you eye, EYE YOUR PROBLEM WHAT
 My left eye can’t see well, LEFT EYE MINE SEE WELL ZERO
 My right eye is painful, EYE MINE RIGHT PAIN HAVE
 I have shaved my eye brow, EYEBROW MINE SHAVE FINISH
 Show me your eyebrow, EYEBROW YOURME SHOW
    I have two eye brows,     EYEBROW TWO MW HAVE
    Children have small eye brows,     CHILDREN EYEBROW SMALL HAVE
    Some people have big eye brows,     PEOPLE SOME EYEBROW SMALL HAVE
    The doctor gave me an eye drop,     DOCTOREYE DROP ME GIVE
    The eye drop is bitter,     EYE DROP THATBITTER
    I used the eye drop in the morning,     MORNING EYE DROP USE FINISH
    The eye drop is colorless,     EYE DROP THAT COLOR HAVE NOTHING
    When you cry we can see your eye drop,     TIME YOU CRY EYE DROP WE SEE POSSSIBLE
    She has blue eye lashes,     GIRL THATEYE LASH BLUE HAVE
 Girls have many eye lashes, GIRL GIRL EYE LASH MANY HAVE
 That cow has long eye lashes, COW THAT EYE LASH LONG HAVE
 Can you cut the eye lashes, EYE LASH CUT POSSIBLE
 He has short eye lashes, HE EYE LASH SHORT HAVE
 What is the color of your eyeball, EYEBALL YOUR COLOUR WHAT
 Some people have blue eyeballs, PEOPLE SOME EYEBALL BLUE HAVE
 Your left eyeball is red, LEFT EYEBALL YOURRED
 My eyeball is the same to goat’s, EYEBALL MINE SAME GOAT
 I want to buy a face mask, FACE MASK ME WANT BUY
 Do you have a face mask, FACE MASK YOU WANT BUY
 That face mask is dirty, FACE MASK THAT DIRY
our guest of honour is on the way,GUEST OF HONOUR OUR WAY THERE
I will be the guest of honour tomorrow,MEGUEST OF HONOUR TOMMOROW BECOME
I really wish to be a guest of honour next time,ME WISH GUEST OF HONOUR BECOME TIME NEXT
when I become the guest of honour I will be very happy,TIME ME GUEST OF HONOUR BECOMEME HAPPY TRUE
I slept at a guest house yesterday,YESTERDAY ME SLEEP HOUSE GUEST
 I am planning to build a guest house,ME PLAN HOUSE GUEST BUILD
we have a nice guest house at home,HOUSE GUEST NICE ME HAVE HOME THERE
 she was overcome with grief,GIRL THAT GRIEF OVERCOME FINISH
he aired his grievance to the manager,MAN THAT GRIEVANCE HIS MANAGER TELL FINISH
 grievance is normal in a work place,TIME PLACE WORKGRIEVANCE NORMAL ALWAYS
 he was nursing a grievance,BOY THAT GRIEVANCE NURSE
 he has filed a grievance against his employer,MAN THAT GRIEVANCE EMPLOYER ABOUT FILE FINISH
 the student filed a grievance against the teacher,STUDENT GRIEVANCE TEACHER ABOUT FILE
 he has a grill in his house,HOUSE HIS GRILL HAVE
 place the meat on the grill,MEAT GRILL PLACE
 I want to grill some meat for lunch,TIME LUNCHME MEAT GRILL WANT
 we need to clean the grill,GRILL THATCLEAN WANT
it is very easy to grind maize,MAIZE GRILL EASY A LOT
 when you grind maize it becomes flour,TIME MAIZE GRINDFLOUR BECOME
 I want to grind some pepper,ME PEPPER GRIND WANT
 I can grind maize in ten minutes,ME MAIZE POSSIBLE GRIND TEN MINUTE ONLY
 when I feel pain I groan,TIME PAINME GROAN
 he let out a groan pain,BOY THIS PAIN GROAN SHOW
 I heard a groan of frustration from the next room,ROOM NEXTME HEAR PAIN GROAN  SAME FRUSTRATION
 when I pray I groan,TIME ME PRAYME GROAN
 I heard a groan as I passed by the road,TIME ME ROAD PASSPAIN GROAN HEAR FINISH
 I have a grocery shop,GROCERY SHOP ME HAVE
 there are many grocery shops in the market,MARHET THEREGROCERY SHOP MANY HAVE
 I want to open a grocery shop tomorrow,TOMMOROWME SHOP GROCERY OPEN
 my aunt has a grocery,AUNT MINE GROCERY HAVE
 ground nuts are sweet,GROUN NUT SWEET TRUE
my mother has a store full of groundnuts,MOTHER MINEGROUNDNUT STORE FULL HAVE
I sell groundnuts everyday,EVERYDAYME GROUNDNUT SELL
 I enjoy eating groundnuts ,GROUNDNUT ME ENJOY EAT A LOT
groundnuts are rich in proteins,PROTEINGROUNDNUT A LOT HAVE
 guava leaves are used as herbal medicine,LEAVE GUAVAMEDICINE HERBAL USE
 guava is a delicious fruit,FRUIT GUAVA DELICIOUS
 guava is a cheap fruit,FRUIT GUAVA CHEAP
 yesterday I planted a guava tree,YESTERDAYME TREE GUAVA PLANT FINISH
 guava fruits are rich in calcium,FRUITGUAVA CALCIUM RICH A LOT
 the guess was right,GUESS RIGHT TRUE
 when I guess it right you give me a gift,TIME ME RIGHT GUESSGIFT GIVE
 I made a correct guess,GUESS CORRECT ME MAKE FINISH
that was a good guess,GUESS THAT GOOD TRUE
 I have guest today,TODAYME GUEST HAVE
 we will have a guest speaker in church tomorrow,TOMMOROWCHURCH OUR GUEST SPEAKER HAVE
 guest of honour arrived late ,GUEST OUR LATE ARRIVE
 if you build a guest house you will make a lot of profit,TIME YOU GUEST HOUSE BUILDPROFIT MAKE A LOT
 God will guide you in everything you do,TIME YOU EVERYTHING DOGOD GUIDE WILL
I will guide you on how to do it,TIME YOU WANT IT DOME GUIDE WILL
 I want to guide my children ,CHILDREN ME GUIDE WILL
 girl guides are a good example to others,GIRL GUIDE EXAMPLE GOOD OTHER SHOW
 my friend has guide allowance,FRIEND MINE GUIDE ALLOWANCE HAVE
 she feels no guilt after what she did,GIRL THAT GUILT FEEL NOTHING TIME MISTAKE DO
 he was consumed with guilt,MAN THAT GUILT A LOT HAVE
 he was haunted by feelings of guilt,MANT THATGUILT HAUNT FINISH
 I felt serious guilt and shame,ME GUILT SAME SHAME SERIOUS FEEL TRUE
 he is guilty for what he did,MAN THAT GUILT HAVE A LOT TIME MISTAKE DO 
 he is not guilty,MAN THAT GUILTY ZERO
i don’t want to be guilty,ME WANT GUILTY BECOME ZERO
 she is guilty,GIRL THAT GUILTY A LOT
 I know how to play a guitar,GUITAR PLAYME KNOW
 I will buy a guitar tomorrow,TOMMOROWGUITAR ME BUY 
 he took a huge gulp of water,MAN THATWATER HUGE GULP FINISH
i took a gulp of beer,ME BEER GULP FINISH
she finished her drink in one gulp,GIRL THATGULP ONE DRIKN ALL FINISH
 I heard a loud gulp when he swallowed,TIME MAN THAT SWALLOWGULP LOUD ME HEAR
 that was a gulp of horror,GULP THAT HORROW SHOW TRUE
 I have a chewing gum, GUM CHEW ME HAVE
 I bought chewing gum in the morning,TIME MORNINGGUM CHEEWING ME BUY FINISH
 his gum is bleeding,GUM MINE BLOOD HAVE
 he went to the hospital to treat his gum,ME HOSPITAL GOWHYGUM HIS TREAT
 my brother swallowed a chewing gum,BROTHER MINE GUM CHEW SWALLOW FINISH
 I have a gun,GUN ME HAVE
 I don’t have a gun,GUN ME HAVE ZERO
 I want a gun,GUN  ME WANT
 my brother went to the gym,BROTHER MINE GYM GO
 I have a gym in my house,HOUSE MINE GYM HAVE
it is good to go to the gym,TIME GYM GO GOOD TRUE
the gymnasium can be rented,GYMNASIUM THAT RENT POSSIBLE
 I have a gymnasium,GYMNASIUM ME HAVE
 we have a meeting at the gymnasium,GYMNASIUM THEREMEETING ME HAVE
this gymnasium belongs to him,GYMNASIUM THAT OWN HIM
 he has a habit of stealing food,HABIT HAVEFOOD STEAL ALWAYS
 that is a very bad habit,HABIT THAT BAD TRUE
he has a bad habit,MAN THATHABIT BAD HAVE
 those are signs of human habitation,SIGN THAT HUMAN HABITATION SHOW
 there were no signs of human habitation,HUMAN HABITATION SIGN SHOW THERE ZERO
 he built habitation close to the water,MAN THATHABITATION BUILT WATER CLOSE THERE
 his familys habitation has lasted for ten years,MAN THAT FAMILY HABITATION YEAR TEN STAY
 she has a hair band,GIRL THAT HAIRBAND HAVE
her hair band is old,HAIRBAND HER OLD
 I bought a hair band,HAIR BAND ME BUT FINISH
 she has a beautiful hair band,GIRL THAT HAIRBAND BEAUTIFUL HAVE
I will buy a hair band tomorrow,TOMMOROWHAIRBAND ME BUY
her hair clip is nice,GIRL THAT HAIRCLIP NICE HAVE
I have a hair clip,HAIR CLIP ME HAVE
she bought a hair clip yesterday,YESTERDAYGIRL THAT HAIRCLIP BUY FINISH
my hair clip is lost,HAIRCLIP MINE LOST
my mother is a hairdresser,MOTHER MINE HAIEDRESSER
Halls are used for activities,HALL USEWHATACTIVITY DO
Our school has three halls,SCHOOL OUR HALL THREE HAVE
We have a plan to build two halls ,PLAN HAVEHALL TWO BUILD WANT
All the halls are dirty,HALL ALL DIRTY
We will clean the halls today,TODAYHALL ALL CLEAN WHO……
Many youths hallucinate,YOUTH MANY HALLUCINATE
It is not good to hallucinate,HALLUCINATE BAD TRUE
I dont want to hallucinate,HALLUCINATE ME WANT NOTHING
When you abuse drugs you hallucinate,TIME YOU DRUG ABUSEHALLUCINATE CAN
My brother like to hallucinate,BROTHER MIN HALLUCINATE LIKE A LOT
When you hallucinate you need a doctor,TIME YOU HALLUCINATEDOCTOR NEED
Hamburger is a town in Germany,HAMBURGER TOWN GERMANY THERE
Hamburger in a good place,HAMBURGER PLACE GOOD
Hamburger is far,HAMBURGER FAR
I will go to hamburger tomorrow,TOMMOROWHAMBURGER ME GO
I have a hammer,HAMMER ME HAVE
Hammer is a good type of vehicle,VEHICLE HAMMERTYPE GOOD
My father has a hammer,FATHER MINEHAMMER HAVE
I will buy a hammer,HAMMWE ME BUY WILL
My brother stole a hammer,BROTHER MINEHAMMER STEAL FINISH
My mother has a handbag,MOTHER MINE HAND BAG HAVE
That handbag is nice,HAND BAG THAT NICE
I will buy a handbag,HAND BAG ME BUY WILL
My sister has a handbag,SISTER MINE HANDBAG HAVE
My brother is handsome,BROTHER MINE HANDSOME
My son is handsome,SON MINE HANDSOME
I am handsome,ME HANDSOME
My father is handsome,FATHER MINE HANDSOME
I have good handwriting,HANDWRTING GOOD ME HAVE
I have bad handwriting,HANDWRITING BAD ME HAVE
Your handwriting is good,HANDWRITING YOUR GOOD
My teacher has good handwriting,TEACHER MINE HANDWRITING GOOD HAVE
I will hang you,MEYOU HANG WILL
He will hang himself,MAN THATHIMSELF HANG WILL
I want to hang my clothes,CLOTH MINE ME HANG WANT
I dont want to hang myself,MYSELF HANG ME WANT ZERO
Hang all the clothes,CLOTH ALL HANG
Dont hang clothes today,TODAYCLOTH HANG ZERO
My sister will hang clothes later,SISTER MINE CLOTH HANG LATER WILL
My brother will hang clothes tomorrow,TOMMOROW BROTHER MINE CLOTH HANG WILL
Happiness is good,HAPPINESS GOOD
Please embrace happiness,HAPPINESSPLWASE EMBRACE
Happiness should be part of our lives,LIFE OURHAPPINESS HAVE THERE MUST
Dont harass me,ME HARRAS ZERO
I will harass you,MEYOU HARRAS WILL
The teacher will harass you,TEACHERYOU HARRAS WILL
There is a big harbor in Kenya,KENYAHARBOR BIG HAVE
My father works at a harbor,FATHER MINEHARBOR WORK
There are many workers at the harbor,WORKER MANY HARBOR THERE HAVE
I want to build a harbor,HARBOR ME BUILD WANT
Hard work pays,TIME WORK HARDPAY A LOT
I will harm you,MEYOU HARM WILL
That panga will harm you,PANGA THATHARM WILL
You will harm him,YOUHIM HARM WILL
Peace and harmony is good,PEACE SAME HARMONY GOOD
We should live in harmony,ALL LIVEHOWHARMONY HAVE MUST
Harmony leads to peace,HARMONY PEACE GIVE TRUE
He taught about harmony today,MAN THATTODAY HARMONY TEACH
He likes hassle,MAN THATHASLE LIKE
I dont like hassle,ME HASSLE LIKE NOTHING
When you like hassle you will not have peace,TIME YOU HASSLE LIKEPEACE HAVE NOTHING
When you fight you will have a hassle,TIME YOU FIGHTHASSLE HAVE WILL
My friend likes hassle,FRIEND MINE HASSLE LIKE
I have a hat,HAT ME HAVE
That hat is nice,HAT THAT NICE
That hat is cheap,HAT THAT CHEAP
Bad behaviour will haunt you,BEHAVIOUR BAD YOU HAUNT WILL
